Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Value
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2003","2003","3012.1"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2004","2004","3142.1"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2005","2005","3136"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2006","2006","3094.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2007","2007","3907.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2008","2008","3899.8"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2009","2009","3282.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2010","2010","4756.2"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2011","2011","5423.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2012","2012","5357.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2013","2013","5763.2"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2014","2014","6152.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2015","2015","6401.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2016","2016","7032.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2017","2017","6374.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2018","2018","6626.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2019","2019","7713.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2020","2020","8675.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2021","2021","9629.8"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2022","2022","10413.8"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01341","Apples","2023","2023","10870.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2000","2000","9752"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2001","2001","9579.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2002","2002","9427.2"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2003","2003","7428.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2004","2004","7414.1"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2005","2005","6828.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2006","2006","6067.8"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2007","2007","7684.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2008","2008","7670.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2009","2009","6420.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2010","2010","6414.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2011","2011","6392"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2012","2012","6482"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2013","2013","6215.6"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2014","2014","6326.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2015","2015","6716.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2016","2016","6652.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2017","2017","6239.1"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2018","2018","5796.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2019","2019","5836.1"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2020","2020","7793"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2021","2021","10955.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2022","2022","14478.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01343","Apricots","2023","2023","9765.8"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2000","2000","4801.2"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2001","2001","4803.8"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2002","2002","4875.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2003","2003","4811.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2004","2004","5511"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2005","2005","4519"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2006","2006","5028.2"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2007","2007","4312.2"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2008","2008","4442.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2009","2009","4363.2"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2010","2010","4445.2"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2011","2011","4700.8"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2012","2012","4368.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2013","2013","4242.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2014","2014","4256.2"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2015","2015","4190.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2016","2016","4690.6"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2017","2017","4707.6"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2018","2018","4497.2"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2019","2019","4562.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2020","2020","4594.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2021","2021","4312.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2022","2022","6493.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01312","Bananas","2023","2023","7428.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2000","2000","950.6"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2001","2001","875.2"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2002","2002","902.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2003","2003","924.8"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2004","2004","960.6"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2005","2005","982.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2006","2006","973.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2007","2007","986.2"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2008","2008","959.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2009","2009","947.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2010","2010","849"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2011","2011","923.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2012","2012","910"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2013","2013","920.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2014","2014","938.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2015","2015","926.1"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2016","2016","916.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2017","2017","953.1"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2018","2018","957.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2019","2019","968.2"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2020","2020","963.6"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2021","2021","1000.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2022","2022","994.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","0115","Barley","2023","2023","1072"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2000","2000","491.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2001","2001","487.1"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2002","2002","535"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2003","2003","542.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2004","2004","564.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2005","2005","536.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2006","2006","615"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2007","2007","700.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2008","2008","691.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2009","2009","623.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2010","2010","541.1"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2011","2011","628.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2012","2012","633.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2013","2013","678.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2014","2014","728.2"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2015","2015","668.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2016","2016","700.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2017","2017","726.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2018","2018","703.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2019","2019","708.8"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2020","2020","873.1"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2021","2021","871.2"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2022","2022","619.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01701","Beans, dry","2023","2023","764.1"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2000","2000","15380.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2001","2001","14910"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2002","2002","15578.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2003","2003","15745.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2004","2004","15711.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2005","2005","15652.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2006","2006","15535.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2007","2007","15779.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2008","2008","16508.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2009","2009","14922.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2010","2010","14629.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2011","2011","14907.1"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2012","2012","15426.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2013","2013","15665.8"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2014","2014","15625.6"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2015","2015","15499.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2016","2016","15662.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2017","2017","15824"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2018","2018","16210.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2019","2019","16181.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2020","2020","17888.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2021","2021","19082.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2022","2022","22774.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01212","Cabbages","2023","2023","30382.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2000","2000","15786.1"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2001","2001","15896.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2002","2002","16396.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2003","2003","16030.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2004","2004","15007"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2005","2005","15507.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2006","2006","14142.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2007","2007","13123.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2008","2008","14746.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2009","2009","14692"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2010","2010","14732.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2011","2011","14438.8"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2012","2012","15009.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2013","2013","12550.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2014","2014","12735.6"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2015","2015","12406.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2016","2016","13586.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2017","2017","14121.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2018","2018","15348.6"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2019","2019","16470.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2020","2020","18443.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2021","2021","18643.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2022","2022","17703.8"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01229","Cantaloupes and other melons","2023","2023","17156.6"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2000","2000","18669"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2001","2001","18355.6"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2002","2002","18144.8"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2003","2003","18023.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2004","2004","18180.1"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2005","2005","17913.2"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2006","2006","17879.8"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2007","2007","18143.1"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2008","2008","17466.1"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2009","2009","17815.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2010","2010","17202.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2011","2011","17585.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2012","2012","17527.1"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2013","2013","17411.1"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2014","2014","17351.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2015","2015","17149.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2016","2016","17251.1"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2017","2017","17284.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2018","2018","17254.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2019","2019","17282.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2020","2020","16443"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2021","2021","25363.6"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2022","2022","25019.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01251","Carrots and turnips","2023","2023","27324.6"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2000","2000","533.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2001","2001","624"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2002","2002","578.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2003","2003","635.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2004","2004","613.6"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2005","2005","652"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2006","2006","565.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2007","2007","622.1"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2008","2008","489.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2009","2009","592.6"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2010","2010","995.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2011","2011","1091.8"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2012","2012","1077.6"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2013","2013","1074.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2014","2014","1050.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2015","2015","1030.6"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2016","2016","1034.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2017","2017","1034.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2018","2018","1030.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2019","2019","1125"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2020","2020","845.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2021","2021","918.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2022","2022","917.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01447","Castor oil seeds","2023","2023","651"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2000","2000","18653.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2001","2001","18313.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2002","2002","18191"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2003","2003","18042.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2004","2004","18070.3"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2005","2005","18183.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2006","2006","18449"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2007","2007","18499.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2008","2008","18027.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2009","2009","18196.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2010","2010","16888"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2011","2011","17369.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2012","2012","17203.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2013","2013","17131"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2014","2014","17388.1"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2015","2015","17422.8"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2016","2016","17155.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2017","2017","17180.2"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2018","2018","16832.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2019","2019","16894.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2020","2020","18111"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2021","2021","26172.9"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2022","2022","24306.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01213","Cauliflowers and broccoli","2023","2023","27418.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01344.02","Cherries","2000","2000","1614.7"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01344.02","Cherries","2001","2001","1734.1"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01344.02","Cherries","2002","2002","1672.2"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01344.02","Cherries","2003","2003","1682.4"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01344.02","Cherries","2004","2004","1719.5"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01344.02","Cherries","2005","2005","1761.2"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01344.02","Cherries","2006","2006","1665.6"
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01344.02","Cherries","2007","2007","2314.1"
